調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,群馬県 大泉町,"33,181",10.01,"2,131"
2015年度,群馬県 邑楽町,-,-,537
2015年度,埼玉県 さいたま市,"1,165,497",117.22,"379,638"
2015年度,埼玉県 さいたま市 西区,"63,412",8.83,"1,393"
2015年度,埼玉県 さいたま市 北区,"141,771",15.27,"4,060"
2015年度,埼玉県 さいたま市 大宮区,"113,560",12.32,"113,925"
2015年度,埼玉県 さいたま市 見沼区,"149,022",17.33,"4,694"
2015年度,埼玉県 さいたま市 中央区,"98,762",8.39,"30,876"
2015年度,埼玉県 さいたま市 桜区,"94,724",9.65,"1,627"
2015年度,埼玉県 さいたま市 浦和区,"154,383",10.94,"72,101"
2015年度,埼玉県 さいたま市 南区,"180,133",13.63,"145,230"
2015年度,埼玉県 さいたま市 緑区,"95,392",10.32,"1,927"
2015年度,埼玉県 さいたま市 岩槻区,"74,338",10.54,"3,805"
2015年度,埼玉県 川越市,"280,650",34.53,"34,603"
2015年度,埼玉県 熊谷市,"110,295",22.07,"24,517"
2015年度,埼玉県 川口市,"565,380",54.86,"36,274"
2015年度,埼玉県 行田市,"48,808",10.3,"4,245"
2015年度,埼玉県 秩父市,"27,165",7.35,"4,093"
2015年度,埼玉県 所沢市,"302,110",31.44,"37,052"
2015年度,埼玉県 飯能市,"53,104",8.68,"7,213"
2015年度,埼玉県 加須市,"42,796",8.26,"3,039"
2015年度,埼玉県 本庄市,"42,592",8.41,"6,014"
2015年度,埼玉県 東松山市,"44,162",7.12,"5,041"
2015年度,埼玉県 春日部市,"205,554",24.06,"18,293"
2015年度,埼玉県 狭山市,"130,086",22.01,"5,775"
2015年度,埼玉県 羽生市,"20,399",4.17,"2,132"
2015年度,埼玉県 鴻巣市,"86,048",13.02,"3,775"
2015年度,埼玉県 深谷市,"66,775",13.46,"6,020"
2015年度,埼玉県 上尾市,"202,848",25.44,X
2015年度,埼玉県 草加市,"244,784",25.07,"13,838"
2015年度,埼玉県 越谷市,"304,711",32.62,"31,871"
2015年度,埼玉県 蕨市,"72,260",5.11,"5,374"
2015年度,埼玉県 戸田市,"136,109",13.33,"29,370"
2015年度,埼玉県 入間市,"124,151",15.62,"6,751"
2015年度,埼玉県 朝霞市,"133,556",12,"7,080"
2015年度,埼玉県 志木市,"72,233",6.62,"3,156"
2015年度,埼玉県 和光市,"80,130",7.88,"2,298"
2015年度,埼玉県 新座市,"152,219",15.37,"8,999"
2015年度,埼玉県 桶川市,"60,352",7.72,"6,357"
2015年度,埼玉県 久喜市,"98,436",13.28,"8,545"
2015年度,埼玉県 北本市,"53,497",7.76,"3,637"
2015年度,埼玉県 八潮市,"82,668",14.25,"3,613"
2015年度,埼玉県 富士見市,"100,262",8.45,"7,303"
2015年度,埼玉県 三郷市,"123,097",18.51,"6,993"
2015年度,埼玉県 蓮田市,"41,802",6.24,X
2015年度,埼玉県 坂戸市,"68,579",8.49,"5,008"
2015年度,埼玉県 幸手市,"26,907",3.96,X
2015年度,埼玉県 鶴ヶ島市,"60,981",6.93,"1,995"
2015年度,埼玉県 日高市,"30,590",4.75,X
2015年度,埼玉県 吉川市,"55,641",6.22,"1,687"
2015年度,埼玉県 ふじみ野市,"103,978",9.33,"13,508"
2015年度,埼玉県 白岡市,"36,203",5.52,"1,362"
2015年度,埼玉県 伊奈町,"34,879",5.67,907
2015年度,埼玉県 三芳町,"28,868",2.35,390
2015年度,埼玉県 毛呂山町,"20,755",3.19,"1,461"
2015年度,埼玉県 越生町,-,-,279
2015年度,埼玉県 滑川町,-,-,116
2015年度,埼玉県 嵐山町,"10,523",1.97,411
2015年度,埼玉県 小川町,"5,631",1.42,"1,305"
2015年度,埼玉県 川島町,-,-,164
2015年度,埼玉県 吉見町,-,-,121
2015年度,埼玉県 鳩山町,"7,364",1.19,X
2015年度,埼玉県 ときがわ町,-,-,X
2015年度,埼玉県 横瀬町,-,-,X
2015年度,埼玉県 皆野町,-,-,564
2015年度,埼玉県 長瀞町,-,-,X
2015年度,埼玉県 小鹿野町,-,-,415
2015年度,埼玉県 東秩父村,-,-,X
2015年度,埼玉県 美里町,-,-,107
2015年度,埼玉県 神川町,-,-,X
2015年度,埼玉県 上里町,-,-,505
2015年度,埼玉県 寄居町,-,-,"1,399"
2015年度,埼玉県 宮代町,"17,185",3.11,693
2015年度,埼玉県 杉戸町,"24,817",3.38,"2,193"
2015年度,埼玉県 松伏町,"20,574",2.81,725
2015年度,千葉県 千葉市,"884,360",121.83,"209,175"
2015年度,千葉県 千葉市 中央区,"198,595",37.88,"116,059"
2015年度,千葉県 千葉市 花見川区,"159,851",16.53,X
2015年度,千葉県 千葉市 稲毛区,"157,060",18.08,X
2015年度,千葉県 千葉市 若葉区,"119,536",15.7,"4,213"
2015年度,千葉県 千葉市 緑区,"100,600",12.44,X
2015年度,千葉県 千葉市 美浜区,"148,718",21.2,"60,889"
2015年度,千葉県 銚子市,"31,947",9.57,"6,584"
2015年度,千葉県 市川市,"471,013",47.45,"28,607"
2015年度,千葉県 船橋市,"597,300",58.62,"58,378"
2015年度,千葉県 館山市,"16,622",6.65,"4,684"
2015年度,千葉県 木更津市,"98,356",26.09,"14,700"
2015年度,千葉県 松戸市,"464,974",47.73,"34,340"
2015年度,千葉県 野田市,"100,127",16.81,"5,175"
2015年度,千葉県 茂原市,"32,295",9.36,"7,497"
2015年度,千葉県 成田市,"80,812",22.62,"21,955"
2015年度,千葉県 佐倉市,"129,237",18.45,"8,515"
2015年度,千葉県 東金市,"14,443",2.99,"2,627"
2015年度,千葉県 旭市,-,-,"2,726"
2015年度,千葉県 習志野市,"167,291",20.38,"10,480"
2015年度,千葉県 柏市,"365,667",39.99,"46,752"
2015年度,千葉県 勝浦市,-,-,X
2015年度,千葉県 市原市,"177,051",53.61,"12,104"
2015年度,千葉県 流山市,"153,779",16.27,"6,537"
2015年度,千葉県 八千代市,"176,042",19.13,"15,419"
2015年度,千葉県 我孫子市,"113,488",13.94,"4,128"
2015年度,千葉県 鴨川市,-,-,"1,731"
2015年度,千葉県 鎌ケ谷市,"94,244",9.94,"5,638"
2015年度,千葉県 君津市,"47,960",18.25,"3,834"
2015年度,千葉県 富津市,-,-,X
2015年度,千葉県 浦安市,"164,024",17.3,"10,464"
2015年度,千葉県 四街道市,"63,809",8.07,"3,490"
2015年度,千葉県 袖ケ浦市,"30,891",17.78,"2,008"
2015年度,千葉県 八街市,"8,948",2.29,"1,983"
2015年度,千葉県 印西市,"49,547",5.66,"5,437"
2015年度,千葉県 白井市,"43,775",4.75,"1,973"
2015年度,千葉県 富里市,"8,719",0.97,"2,053"
2015年度,千葉県 南房総市,-,-,"1,010"
2015年度,千葉県 匝瑳市,-,-,X
2015年度,千葉県 香取市,"9,440",3.15,"4,209"
2015年度,千葉県 山武市,-,-,"1,070"
2015年度,千葉県 いすみ市,-,-,"1,899"
2015年度,千葉県 大網白里市,"5,265",0.68,"1,630"
2015年度,千葉県 酒々井町,"12,813",1.53,929
2015年度,千葉県 栄町,"7,726",1.31,513
2015年度,千葉県 神崎町,-,-,302
2015年度,千葉県 多古町,-,-,574
2015年度,千葉県 東庄町,-,-,445
2015年度,千葉県 九十九里町,-,-,X
2015年度,千葉県 芝山町,-,-,138
2015年度,千葉県 横芝光町,-,-,"1,083"
2015年度,千葉県 一宮町,-,-,X
2015年度,千葉県 睦沢町,-,-,X
2015年度,千葉県 長生村,-,-,X
2015年度,千葉県 白子町,-,-,77
2015年度,千葉県 長柄町,-,-,0
2015年度,千葉県 長南町,-,-,45
2015年度,千葉県 大多喜町,-,-,X
2015年度,千葉県 御宿町,-,-,231
2015年度,千葉県 鋸南町,-,-,516
2015年度,東京都 千代田区,"58,406",11.66,"2,856,396"
2015年度,東京都 中央区,"141,183",10.21,"1,293,527"
2015年度,東京都 港区,"243,283",20.37,"523,611"
2015年度,東京都 新宿区,"333,560",18.22,"422,167"
2015年度,東京都 文京区,"219,724",11.29,"257,498"
2015年度,東京都 台東区,"198,073",10.11,"77,496"
2015年度,東京都 墨田区,"256,274",13.77,"36,590"
2015年度,東京都 江東区,"498,109",40.16,"174,004"
2015年度,東京都 品川区,"386,855",22.84,"-26,387"
2015年度,東京都 目黒区,"277,622",14.67,"51,558"
2015年度,東京都 大田区,"717,082",60.66,"81,872"
2015年度,東京都 世田谷区,"903,346",58.05,"112,133"
2015年度,東京都 渋谷区,"224,533",15.11,"222,656"
2015年度,東京都 中野区,"328,215",15.59,"67,269"
2015年度,東京都 杉並区,"563,997",34.06,"56,254"
2015年度,東京都 豊島区,"291,167",13.01,"56,457"
2015年度,東京都 北区,"341,076",20.61,"38,185"
2015年度,東京都 荒川区,"212,264",10.16,"18,872"
2015年度,東京都 板橋区,"561,916",32.22,"44,809"
2015年度,東京都 練馬区,"721,722",48.08,"51,097"
2015年度,東京都 足立区,"670,122",53.25,"49,524"
2015年度,東京都 葛飾区,"442,913",34.8,"36,054"
2015年度,東京都 江戸川区,"681,298",49.9,"48,747"
2015年度,東京都 八王子市,"517,284",62.72,"40,976"
2015年度,東京都 立川市,"174,212",22.44,"63,834"
2015年度,東京都 武蔵野市,"144,730",10.98,X
2015年度,東京都 三鷹市,"186,936",16.42,X
2015年度,東京都 青梅市,"107,375",17.3,"8,420"
2015年度,東京都 府中市,"260,274",29.43,"37,327"
2015年度,東京都 昭島市,"111,491",14.71,X
2015年度,東京都 調布市,"229,061",21.58,"20,597"
2015年度,東京都 町田市,"406,307",45.61,"47,068"
2015年度,東京都 小金井市,"121,396",11.3,"7,524"
2015年度,東京都 小平市,"190,005",20.51,"7,824"
2015年度,東京都 日野市,"184,963",24.68,"11,017"
2015年度,東京都 東村山市,"149,921",16.58,"11,378"
2015年度,東京都 国分寺市,"122,742",11.46,"8,908"
2015年度,東京都 国立市,"71,014",6.72,"8,273"
2015年度,東京都 福生市,"58,142",9.47,"3,889"
2015年度,東京都 狛江市,"80,249",6.39,"3,535"
2015年度,東京都 東大和市,"84,578",9.77,"3,004"
2015年度,東京都 清瀬市,"71,560",8.35,"4,440"
2015年度,東京都 東久留米市,"116,632",12.88,"4,046"
2015年度,東京都 武蔵村山市,"67,596",9.58,"1,810"
2015年度,東京都 多摩市,"142,609",16.24,"19,656"
2015年度,東京都 稲城市,"70,940",7.6,X
2015年度,東京都 羽村市,"55,066",8.86,"2,616"
2015年度,東京都 あきる野市,"64,624",10.22,"2,450"
2015年度,東京都 西東京市,"200,012",15.75,"15,188"
2015年度,東京都 瑞穂町,"23,146",6.34,"1,531"
2015年度,東京都 日の出町,"9,027",1.61,X
2015年度,東京都 檜原村,-,-,0
2015年度,東京都 奥多摩町,-,-,X
2015年度,東京都 大島町,-,-,874
2015年度,東京都 利島村,-,-,0
2015年度,東京都 新島村,-,-,X
2015年度,東京都 神津島村,-,-,X
2015年度,東京都 三宅村,-,-,X
2015年度,東京都 御蔵島村,-,-,0
2015年度,東京都 八丈町,-,-,582
2015年度,東京都 青ヶ島村,-,-,0
2015年度,東京都 小笠原村,-,-,X
2015年度,神奈川県 横浜市,"3,630,111",349.3,"452,154"
2015年度,神奈川県 横浜市 鶴見区,"285,356",33.23,"17,185"
2015年度,神奈川県 横浜市 神奈川区,"234,377",19.66,X
2015年度,神奈川県 横浜市 西区,"98,532",7.03,X
2015年度,神奈川県 横浜市 中区,"148,312",21.2,"93,774"
2015年度,神奈川県 横浜市 南区,"194,827",12.65,"3,952"
2015年度,神奈川県 横浜市 保土ケ谷区,"200,778",18.78,X
2015年度,神奈川県 横浜市 磯子区,"162,621",16.75,"7,146"
2015年度,神奈川県 横浜市 金沢区,"201,070",26.09,"10,293"
2015年度,神奈川県 横浜市 港北区,"337,884",25.92,X
2015年度,神奈川県 横浜市 戸塚区,"260,209",25.5,"21,505"
2015年度,神奈川県 横浜市 港南区,"214,163",18.79,"23,387"
2015年度,神奈川県 横浜市 旭区,"238,638",22.61,"13,916"
2015年度,神奈川県 横浜市 緑区,"172,853",15.77,"12,394"
2015年度,神奈川県 横浜市 瀬谷区,"119,504",11.35,"5,483"
2015年度,神奈川県 横浜市 栄区,"119,106",13.26,779
2015年度,神奈川県 横浜市 泉区,"138,723",13.18,"4,077"
2015年度,神奈川県 横浜市 青葉区,"302,069",27.24,"33,614"
2015年度,神奈川県 横浜市 都筑区,"201,089",20.28,X
2015年度,神奈川県 川崎市,"1,462,423",133.22,"111,464"
2015年度,神奈川県 川崎市 川崎区,"223,378",39.53,X
2015年度,神奈川県 川崎市 幸区,"160,890",10.01,"-1,841"
2015年度,神奈川県 川崎市 中原区,"247,529",14.74,X
2015年度,神奈川県 川崎市 高津区,"228,141",16.36,"12,379"
2015年度,神奈川県 川崎市 多摩区,"214,106",19.49,X
2015年度,神奈川県 川崎市 宮前区,"224,018",17.56,"9,853"
2015年度,神奈川県 川崎市 麻生区,"164,361",15.53,"14,941"
2015年度,神奈川県 相模原市,"665,686",71.73,"38,511"
2015年度,神奈川県 相模原市 緑区,"130,537",16.03,"8,649"
2015年度,神奈川県 相模原市 中央区,"263,278",30.76,"16,926"
2015年度,神奈川県 相模原市 南区,"271,871",24.93,"12,936"
2015年度,神奈川県 横須賀市,"386,841",57.53,"34,533"
2015年度,神奈川県 平塚市,"235,955",32.47,"22,807"
2015年度,神奈川県 鎌倉市,"167,438",24.09,"19,337"
2015年度,神奈川県 藤沢市,"397,519",46.17,"51,461"
2015年度,神奈川県 小田原市,"169,095",30.39,"18,644"
2015年度,神奈川県 茅ヶ崎市,"225,316",23.08,"13,181"
2015年度,神奈川県 逗子市,"54,156",7.48,"4,510"
2015年度,神奈川県 三浦市,"24,598",3.95,"2,739"
2015年度,神奈川県 秦野市,"143,606",22.57,"8,741"
2015年度,神奈川県 厚木市,"195,591",28.69,X
2015年度,神奈川県 大和市,"229,761",22.99,"17,628"
2015年度,神奈川県 伊勢原市,"79,035",9.98,X
2015年度,神奈川県 海老名市,"121,234",13.66,"14,365"
2015年度,神奈川県 座間市,"120,885",11.92,"5,067"
2015年度,神奈川県 南足柄市,"33,299",6.55,"1,538"
2015年度,神奈川県 綾瀬市,"73,498",13.12,X
2015年度,神奈川県 葉山町,"24,156",4.57,389
2015年度,神奈川県 寒川町,"42,330",6.83,"1,278"
2015年度,神奈川県 大磯町,"27,787",5.78,X
2015年度,神奈川県 二宮町,"25,508",4.23,"1,077"
2015年度,神奈川県 中井町,-,-,X
2015年度,神奈川県 大井町,"12,901",2.42,X
2015年度,神奈川県 松田町,"7,996",2.04,853
2015年度,神奈川県 山北町,-,-,X
2015年度,神奈川県 開成町,"13,359",2.52,414
2015年度,神奈川県 箱根町,-,-,779
2015年度,神奈川県 真鶴町,"5,243",1.31,121
2015年度,神奈川県 湯河原町,"16,782",2.95,"1,164"
2015年度,神奈川県 愛川町,"24,119",5.22,"1,230"
2015年度,神奈川県 清川村,-,-,X
2015年度,新潟県 新潟市,"590,688",104.16,"109,805"
2015年度,新潟県 新潟市 北区,"40,507",7.4,"1,409"
2015年度,新潟県 新潟市 東区,"128,798",25.88,"3,920"
2015年度,新潟県 新潟市 中央区,"182,228",30.4,"91,153"
2015年度,新潟県 新潟市 江南区,"30,292",4.55,"2,531"
2015年度,新潟県 新潟市 秋葉区,"48,689",10.18,"2,436"
2015年度,新潟県 新潟市 南区,"7,816",1.99,"1,934"
2015年度,新潟県 新潟市 西区,"135,303",19.73,"4,965"
2015年度,新潟県 新潟市 西蒲区,"17,055",4.04,"1,457"
2015年度,新潟県 長岡市,"132,473",27,"31,194"
2015年度,新潟県 三条市,"50,608",11.23,"7,580"
2015年度,新潟県 柏崎市,"30,987",9.15,"4,127"
2015年度,新潟県 新発田市,"48,368",9.71,"4,676"
2015年度,新潟県 小千谷市,"12,520",3.17,"1,836"
2015年度,新潟県 加茂市,"17,496",4.19,"1,447"
2015年度,新潟県 十日町市,"16,008",4.08,"2,614"
2015年度,新潟県 見附市,"25,179",5.17,"1,687"
2015年度,新潟県 村上市,"16,279",4.04,"2,791"
2015年度,新潟県 燕市,"31,202",8.35,"4,049"
2015年度,新潟県 糸魚川市,"17,970",5.96,"2,232"
2015年度,新潟県 妙高市,"8,809",2.86,"1,800"
2015年度,新潟県 五泉市,"21,748",5.53,"2,133"
2015年度,新潟県 上越市,"82,507",23.13,"11,120"
2015年度,新潟県 阿賀野市,"12,040",2.98,"1,223"
2015年度,新潟県 佐渡市,-,-,"2,803"
2015年度,新潟県 魚沼市,-,-,"1,258"
2015年度,新潟県 南魚沼市,"6,466",1.68,"2,423"
2015年度,新潟県 胎内市,-,-,"1,272"
2015年度,新潟県 聖籠町,-,-,560
2015年度,新潟県 弥彦村,-,-,X
2015年度,新潟県 田上町,-,-,75
2015年度,新潟県 阿賀町,-,-,259
2015年度,新潟県 出雲崎町,-,-,X
2015年度,新潟県 湯沢町,-,-,X
2015年度,新潟県 津南町,-,-,303
2015年度,新潟県 刈羽村,-,-,X
2015年度,新潟県 関川村,-,-,X
2015年度,新潟県 粟島浦村,-,-,0
2015年度,富山県 富山市,"235,868",57.89,"68,491"
2015年度,富山県 高岡市,"86,544",23.55,"18,004"
2015年度,富山県 魚津市,"13,849",4.21,"3,487"
2015年度,富山県 氷見市,"10,561",3.08,"1,839"
2015年度,富山県 滑川市,"6,921",2.11,X
2015年度,富山県 黒部市,-,-,"1,953"
2015年度,富山県 砺波市,-,-,"3,318"
2015年度,富山県 小矢部市,"6,386",1.79,"2,167"
2015年度,富山県 南砺市,-,-,"3,003"
2015年度,富山県 射水市,"42,798",11.35,"3,856"
2015年度,富山県 舟橋村,-,-,X
2015年度,富山県 上市町,-,-,947
2015年度,富山県 立山町,-,-,662
2015年度,富山県 入善町,-,-,834
2015年度,富山県 朝日町,-,-,X
2015年度,石川県 金沢市,"387,341",63.18,"100,236"
2015年度,石川県 七尾市,"11,455",3.5,"2,907"
2015年度,石川県 小松市,"33,617",8.68,"5,708"
2015年度,石川県 輪島市,"8,611",2.25,"1,286"
2015年度,石川県 珠洲市,-,-,686
2015年度,石川県 加賀市,"14,516",3.88,"3,144"
2015年度,石川県 羽咋市,"6,054",2.03,"1,349"
2015年度,石川県 かほく市,-,-,"1,253"
2015年度,石川県 白山市,"41,908",9.13,"3,792"
2015年度,石川県 能美市,"7,029",1.95,"1,252"
2015年度,石川県 野々市市,"43,211",6.89,"2,764"
2015年度,石川県 川北町,-,-,99
2015年度,石川県 津幡町,"17,979",3.92,950
2015年度,石川県 内灘町,"22,030",3.73,702
2015年度,石川県 志賀町,-,-,698
2015年度,石川県 宝達志水町,-,-,146
2015年度,石川県 中能登町,-,-,344
2015年度,石川県 穴水町,-,-,228
2015年度,石川県 能登町,-,-,"1,065"
2015年度,福井県 福井市,"177,268",36.37,"50,668"
2015年度,福井県 敦賀市,"44,689",12.04,"4,957"
2015年度,福井県 小浜市,"10,279",3.15,"2,357"
2015年度,福井県 大野市,"13,518",3.94,X
2015年度,福井県 勝山市,"9,936",2.95,"1,107"
2015年度,福井県 鯖江市,"26,868",8.13,"4,433"
2015年度,福井県 あわら市,"5,038",1.47,X
2015年度,福井県 越前市,"26,244",7.17,"5,499"
2015年度,福井県 坂井市,"26,748",6.8,"3,781"
2015年度,福井県 永平寺町,"5,406",1.27,633
2015年度,福井県 池田町,-,-,X
2015年度,福井県 南越前町,-,-,250
2015年度,福井県 越前町,-,-,795
2015年度,福井県 美浜町,-,-,283
2015年度,福井県 高浜町,-,-,X
2015年度,福井県 おおい町,-,-,236
2015年度,福井県 若狭町,-,-,247
2015年度,山梨県 甲府市,"154,036",32.28,"52,710"
2015年度,山梨県 富士吉田市,"25,026",6.53,"4,822"
2015年度,山梨県 都留市,"8,151",1.76,"1,298"
2015年度,山梨県 山梨市,"5,057",1.79,"1,367"
2015年度,山梨県 大月市,-,-,"1,260"
2015年度,山梨県 韮崎市,-,-,"1,217"
2015年度,山梨県 南アルプス市,-,-,"2,667"
2015年度,山梨県 北杜市,-,-,"1,677"
2015年度,山梨県 甲斐市,"52,363",11.06,"2,168"
2015年度,山梨県 笛吹市,-,-,X
2015年度,山梨県 上野原市,"7,974",1.87,879
2015年度,山梨県 甲州市,-,-,"1,318"
2015年度,山梨県 中央市,"8,206",1.7,"1,053"
2015年度,山梨県 市川三郷町,-,-,480
2015年度,山梨県 早川町,-,-,0
2015年度,山梨県 身延町,-,-,382
2015年度,山梨県 南部町,-,-,142
2015年度,山梨県 富士川町,-,-,X
2015年度,山梨県 昭和町,-,-,"1,139"
2015年度,山梨県 道志村,-,-,X
2015年度,山梨県 西桂町,-,-,X
2015年度,山梨県 忍野村,-,-,239
2015年度,山梨県 山中湖村,-,-,288
2015年度,山梨県 鳴沢村,-,-,X
2015年度,山梨県 富士河口湖町,-,-,"1,311"
2015年度,山梨県 小菅村,-,-,0
2015年度,山梨県 丹波山村,-,-,0
2015年度,長野県 長野市,"255,665",48.87,"75,154"
2015年度,長野県 松本市,"146,481",31.35,"38,174"
2015年度,長野県 上田市,"47,185",12.53,"14,068"
2015年度,長野県 岡谷市,"41,056",11.07,"4,340"
2015年度,長野県 飯田市,"32,938",9.37,"10,231"
2015年度,長野県 諏訪市,"15,081",3.89,"7,207"
2015年度,長野県 須坂市,"23,019",5.69,"2,656"
2015年度,長野県 小諸市,"5,345",1.99,"1,570"
2015年度,長野県 伊那市,"10,452",4.33,"5,315"
2015年度,長野県 駒ヶ根市,"6,592",2.05,"1,837"
2015年度,長野県 中野市,"12,343",3.09,"2,416"
2015年度,長野県 大町市,"5,503",2.1,"1,466"
2015年度,長野県 飯山市,-,-,"1,085"
2015年度,長野県 茅野市,"11,322",3.79,"3,563"
2015年度,長野県 塩尻市,"36,186",8.31,"3,132"
2015年度,長野県 佐久市,"19,176",5.96,"6,848"
2015年度,長野県 千曲市,"19,393",5.98,"3,021"
2015年度,長野県 東御市,"5,143",1.66,826
2015年度,長野県 安曇野市,"8,676",2.38,"3,834"
2015年度,長野県 小海町,-,-,234
2015年度,長野県 川上村,-,-,X
2015年度,長野県 南牧村,-,-,X
2015年度,長野県 南相木村,-,-,0
2015年度,長野県 北相木村,-,-,X
2015年度,長野県 佐久穂町,-,-,X
2015年度,長野県 軽井沢町,-,-,846
2015年度,長野県 御代田町,-,-,420
2015年度,長野県 立科町,-,-,200
2015年度,長野県 青木村,-,-,X
2015年度,長野県 長和町,-,-,32
2015年度,長野県 下諏訪町,"16,958",4.37,"1,048"
2015年度,長野県 富士見町,-,-,499
2015年度,長野県 原村,-,-,X
2015年度,長野県 辰野町,-,-,660
2015年度,長野県 箕輪町,-,-,X
2015年度,長野県 飯島町,-,-,248
2015年度,長野県 南箕輪村,-,-,465
2015年度,長野県 中川村,-,-,X
2015年度,長野県 宮田村,-,-,241
2015年度,長野県 松川町,-,-,476
2015年度,長野県 高森町,-,-,555
2015年度,長野県 阿南町,-,-,X
2015年度,長野県 阿智村,-,-,179
2015年度,長野県 平谷村,-,-,0
2015年度,長野県 根羽村,-,-,0
2015年度,長野県 下條村,-,-,0
2015年度,長野県 売木村,-,-,0
2015年度,長野県 天龍村,-,-,X
2015年度,長野県 泰阜村,-,-,X
2015年度,長野県 喬木村,-,-,X
2015年度,長野県 豊丘村,-,-,137
2015年度,長野県 大鹿村,-,-,0
2015年度,長野県 上松町,-,-,226
2015年度,長野県 南木曽町,-,-,X
2015年度,長野県 木祖村,-,-,0
2015年度,長野県 王滝村,-,-,0
2015年度,長野県 大桑村,-,-,X
2015年度,長野県 木曽町,-,-,831
2015年度,長野県 麻績村,-,-,X
2015年度,長野県 生坂村,-,-,0
2015年度,長野県 山形村,-,-,X
2015年度,長野県 朝日村,-,-,0
2015年度,長野県 筑北村,-,-,0
2015年度,長野県 池田町,-,-,X
2015年度,長野県 松川村,-,-,384
2015年度,長野県 白馬村,-,-,418
2015年度,長野県 小谷村,-,-,X
2015年度,長野県 坂城町,-,-,854
2015年度,長野県 小布施町,-,-,X
2015年度,長野県 高山村,-,-,X
2015年度,長野県 山ノ内町,-,-,549
2015年度,長野県 木島平村,-,-,0
2015年度,長野県 野沢温泉村,-,-,0
2015年度,長野県 信濃町,-,-,X
2015年度,長野県 小川村,-,-,0
2015年度,長野県 飯綱町,-,-,X
2015年度,長野県 栄村,-,-,0
