調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,岐阜県 岐阜市,"286,484",54.98,"68,720"
2015年度,岐阜県 大垣市,"93,199",21.46,"28,743"
2015年度,岐阜県 高山市,"37,269",8.19,"6,997"
2015年度,岐阜県 多治見市,"59,813",13.91,"13,456"
2015年度,岐阜県 関市,"25,486",5.71,"4,977"
2015年度,岐阜県 中津川市,"7,353",2.56,"4,190"
2015年度,岐阜県 美濃市,-,-,X
2015年度,岐阜県 瑞浪市,"7,473",1.96,"2,382"
2015年度,岐阜県 羽島市,"23,571",5.4,"2,439"
2015年度,岐阜県 恵那市,"5,707",1.64,"2,284"
2015年度,岐阜県 美濃加茂市,"9,949",2.75,"4,453"
2015年度,岐阜県 土岐市,"24,979",7.46,"3,409"
2015年度,岐阜県 各務原市,"84,998",20.4,"5,521"
2015年度,岐阜県 可児市,"30,777",7.39,"4,204"
2015年度,岐阜県 山県市,-,-,968
2015年度,岐阜県 瑞穂市,"18,654",4.26,"3,161"
2015年度,岐阜県 飛騨市,"5,400",1.35,855
2015年度,岐阜県 本巣市,-,-,784
2015年度,岐阜県 郡上市,-,-,"2,301"
2015年度,岐阜県 下呂市,-,-,"1,868"
2015年度,岐阜県 海津市,-,-,"1,730"
2015年度,岐阜県 岐南町,"11,960",2.77,X
2015年度,岐阜県 笠松町,"10,996",2.58,X
2015年度,岐阜県 養老町,-,-,X
2015年度,岐阜県 垂井町,"13,223",4.34,X
2015年度,岐阜県 関ケ原町,-,-,341
2015年度,岐阜県 神戸町,"6,380",2.97,X
2015年度,岐阜県 輪之内町,-,-,X
2015年度,岐阜県 安八町,-,-,X
2015年度,岐阜県 揖斐川町,-,-,795
2015年度,岐阜県 大野町,-,-,352
2015年度,岐阜県 池田町,-,-,566
2015年度,岐阜県 北方町,"12,692",2.68,799
2015年度,岐阜県 坂祝町,-,-,X
2015年度,岐阜県 富加町,-,-,X
2015年度,岐阜県 川辺町,-,-,381
2015年度,岐阜県 七宗町,-,-,X
2015年度,岐阜県 八百津町,-,-,263
2015年度,岐阜県 白川町,-,-,235
2015年度,岐阜県 東白川村,-,-,X
2015年度,岐阜県 御嵩町,-,-,X
2015年度,岐阜県 白川村,-,-,X
2015年度,静岡県 静岡市,"621,501",103.9,"137,160"
2015年度,静岡県 静岡市 葵区,"215,521",29.78,"80,141"
2015年度,静岡県 静岡市 駿河区,"202,070",33.24,"21,759"
2015年度,静岡県 静岡市 清水区,"203,910",40.88,"35,260"
2015年度,静岡県 浜松市,"475,253",85.37,"83,141"
2015年度,静岡県 浜松市 中区,"231,120",38.37,"65,598"
2015年度,静岡県 浜松市 東区,"79,831",16.32,"6,636"
2015年度,静岡県 浜松市 西区,"53,163",10.72,"3,290"
2015年度,静岡県 浜松市 南区,"58,749",10.64,-133
2015年度,静岡県 浜松市 北区,"14,070",2.68,"3,084"
2015年度,静岡県 浜松市 浜北区,"38,320",6.63,"3,318"
2015年度,静岡県 浜松市 天竜区,-,-,"1,350"
2015年度,静岡県 沼津市,"164,605",31.77,"36,292"
2015年度,静岡県 熱海市,"14,134",2.45,"2,222"
2015年度,静岡県 三島市,"85,837",13.98,"9,721"
2015年度,静岡県 富士宮市,"70,335",16.32,"7,901"
2015年度,静岡県 伊東市,"28,602",5.83,"3,764"
2015年度,静岡県 島田市,"51,478",12.03,"6,622"
2015年度,静岡県 富士市,"198,008",49.02,"18,176"
2015年度,静岡県 磐田市,"69,580",14.9,"9,646"
2015年度,静岡県 焼津市,"78,698",16.69,"5,572"
2015年度,静岡県 掛川市,"30,122",6.21,X
2015年度,静岡県 藤枝市,"85,167",15.61,"8,655"
2015年度,静岡県 御殿場市,"31,399",5.68,"6,616"
2015年度,静岡県 袋井市,"16,242",3.84,"4,446"
2015年度,静岡県 下田市,"5,947",1.28,"1,788"
2015年度,静岡県 裾野市,"19,963",4.02,"2,228"
2015年度,静岡県 湖西市,"32,403",8.19,X
2015年度,静岡県 伊豆市,-,-,"1,665"
2015年度,静岡県 御前崎市,-,-,"1,118"
2015年度,静岡県 菊川市,"8,445",2.12,"1,717"
2015年度,静岡県 伊豆の国市,"24,551",5.11,"2,188"
2015年度,静岡県 牧之原市,"8,912",2.37,"2,338"
2015年度,静岡県 東伊豆町,-,-,X
2015年度,静岡県 河津町,-,-,X
2015年度,静岡県 南伊豆町,-,-,116
2015年度,静岡県 松崎町,-,-,X
2015年度,静岡県 西伊豆町,-,-,X
2015年度,静岡県 函南町,"22,965",3.73,"1,147"
2015年度,静岡県 清水町,"27,345",5.55,"3,984"
2015年度,静岡県 長泉町,"37,095",6.75,"29,381"
2015年度,静岡県 小山町,-,-,479
2015年度,静岡県 吉田町,"7,654",1.75,766
2015年度,静岡県 川根本町,-,-,X
2015年度,静岡県 森町,-,-,332
2015年度,愛知県 名古屋市,"2,250,106",279.18,"571,059"
2015年度,愛知県 名古屋市 千種区,"164,696",18.18,"28,512"
2015年度,愛知県 名古屋市 東区,"78,043",7.71,"16,068"
2015年度,愛知県 名古屋市 北区,"163,579",17.53,"9,059"
2015年度,愛知県 名古屋市 西区,"149,098",17.93,"20,882"
2015年度,愛知県 名古屋市 中村区,"133,206",16.3,"77,184"
2015年度,愛知県 名古屋市 中区,"83,203",9.38,"324,221"
2015年度,愛知県 名古屋市 昭和区,"107,170",10.94,"9,694"
2015年度,愛知県 名古屋市 瑞穂区,"105,357",11.22,"7,106"
2015年度,愛知県 名古屋市 熱田区,"65,895",8.2,"9,749"
2015年度,愛知県 名古屋市 中川区,"213,612",28.05,"10,471"
2015年度,愛知県 名古屋市 港区,"139,186",32,"6,391"
2015年度,愛知県 名古屋市 南区,"136,935",18.46,"6,901"
2015年度,愛知県 名古屋市 守山区,"156,548",19.06,"6,032"
2015年度,愛知県 名古屋市 緑区,"232,730",30,"10,367"
2015年度,愛知県 名古屋市 名東区,"160,213",16.54,"13,418"
2015年度,愛知県 名古屋市 天白区,"160,635",17.69,"15,005"
2015年度,愛知県 豊橋市,"265,822",44.54,"39,501"
2015年度,愛知県 岡崎市,"289,249",50.21,"42,078"
2015年度,愛知県 一宮市,"273,842",50.52,"26,438"
2015年度,愛知県 瀬戸市,"95,517",15.66,"8,902"
2015年度,愛知県 半田市,"102,791",23.66,"12,616"
2015年度,愛知県 春日井市,"271,984",46.52,"15,587"
2015年度,愛知県 豊川市,"118,762",24.33,"9,403"
2015年度,愛知県 津島市,"30,976",5.04,X
2015年度,愛知県 碧南市,"63,766",17.78,"5,357"
2015年度,愛知県 刈谷市,"120,449",21.17,"20,508"
2015年度,愛知県 豊田市,"244,914",41.04,"27,189"
2015年度,愛知県 安城市,"123,674",17.28,"13,278"
2015年度,愛知県 西尾市,"80,028",16.85,"11,127"
2015年度,愛知県 蒲郡市,"56,140",14.77,"6,440"
2015年度,愛知県 犬山市,"35,815",7,X
2015年度,愛知県 常滑市,"37,975",9.53,"3,370"
2015年度,愛知県 江南市,"55,280",9.23,"4,863"
2015年度,愛知県 小牧市,"116,432",22.56,"8,259"
2015年度,愛知県 稲沢市,"54,346",7.29,"7,682"
2015年度,愛知県 新城市,"9,345",2.14,"2,136"
2015年度,愛知県 東海市,"100,236",28.74,X
2015年度,愛知県 大府市,"66,144",11.05,"3,528"
2015年度,愛知県 知多市,"56,252",16.72,"1,974"
2015年度,愛知県 知立市,"55,575",8.1,"4,062"
2015年度,愛知県 尾張旭市,"76,938",13.21,"3,075"
2015年度,愛知県 高浜市,"43,013",9.23,"1,897"
2015年度,愛知県 岩倉市,"41,483",4.94,"2,947"
2015年度,愛知県 豊明市,"57,624",9.19,"3,697"
2015年度,愛知県 日進市,"50,513",6.79,"2,837"
2015年度,愛知県 田原市,"11,370",2.5,"3,366"
2015年度,愛知県 愛西市,"16,061",2.87,633
2015年度,愛知県 清須市,"57,305",11.51,"3,016"
2015年度,愛知県 北名古屋市,"72,909",9.96,"3,305"
2015年度,愛知県 弥富市,"23,113",4.83,X
2015年度,愛知県 みよし市,"36,891",5.54,"1,698"
2015年度,愛知県 あま市,"69,152",11.84,"1,709"
2015年度,愛知県 長久手市,"43,381",5.18,"1,868"
2015年度,愛知県 東郷町,"26,997",3.53,897
2015年度,愛知県 豊山町,"13,891",4.97,823
2015年度,愛知県 大口町,"12,453",2.29,337
2015年度,愛知県 扶桑町,"25,439",4.68,865
2015年度,愛知県 大治町,"28,801",5.45,"1,322"
2015年度,愛知県 蟹江町,"32,231",5.18,"2,887"
2015年度,愛知県 飛島村,-,-,X
2015年度,愛知県 阿久比町,"6,046",0.73,X
2015年度,愛知県 東浦町,"33,009",5.1,"1,061"
2015年度,愛知県 南知多町,-,-,453
2015年度,愛知県 美浜町,-,-,463
2015年度,愛知県 武豊町,"30,250",8.7,"1,368"
2015年度,愛知県 幸田町,"18,173",2.82,"1,134"
2015年度,愛知県 設楽町,-,-,0
2015年度,愛知県 東栄町,-,-,X
2015年度,愛知県 豊根村,-,-,0
2015年度,三重県 津市,"133,801",30.54,"45,648"
2015年度,三重県 四日市市,"217,294",59.55,"40,462"
2015年度,三重県 伊勢市,"58,359",15.23,"10,607"
2015年度,三重県 松阪市,"71,932",14.92,"15,448"
2015年度,三重県 桑名市,"77,836",15.07,"10,799"
2015年度,三重県 鈴鹿市,"114,564",27.5,"8,525"
2015年度,三重県 名張市,"43,621",8.57,"3,898"
2015年度,三重県 尾鷲市,"11,023",3.65,"1,841"
2015年度,三重県 亀山市,"7,873",2.69,X
2015年度,三重県 鳥羽市,-,-,X
2015年度,三重県 熊野市,-,-,945
2015年度,三重県 いなべ市,-,-,"1,822"
2015年度,三重県 志摩市,-,-,"2,286"
2015年度,三重県 伊賀市,"18,913",4.55,"4,488"
2015年度,三重県 木曽岬町,-,-,X
2015年度,三重県 東員町,"12,213",2.08,643
2015年度,三重県 菰野町,"12,651",2.92,961
2015年度,三重県 朝日町,-,-,X
2015年度,三重県 川越町,"9,107",2.26,X
2015年度,三重県 多気町,-,-,X
2015年度,三重県 明和町,-,-,X
2015年度,三重県 大台町,-,-,261
2015年度,三重県 玉城町,-,-,X
2015年度,三重県 度会町,-,-,X
2015年度,三重県 大紀町,-,-,X
2015年度,三重県 南伊勢町,-,-,188
2015年度,三重県 紀北町,-,-,826
2015年度,三重県 御浜町,-,-,168
2015年度,三重県 紀宝町,-,-,X
2015年度,滋賀県 大津市,"268,627",38.88,"42,272"
2015年度,滋賀県 彦根市,"64,905",13.1,"10,463"
2015年度,滋賀県 長浜市,"33,258",6.95,"7,979"
2015年度,滋賀県 近江八幡市,"29,639",5.12,"6,392"
2015年度,滋賀県 草津市,"103,264",13.97,"16,154"
2015年度,滋賀県 守山市,"55,052",9.08,"3,860"
2015年度,滋賀県 栗東市,"44,491",6.58,"3,024"
2015年度,滋賀県 甲賀市,"17,775",3.82,"4,040"
2015年度,滋賀県 野洲市,"23,365",3.2,"1,479"
2015年度,滋賀県 湖南市,"27,967",6.74,"1,834"
2015年度,滋賀県 高島市,-,-,"2,109"
2015年度,滋賀県 東近江市,"33,603",6.43,"5,343"
2015年度,滋賀県 米原市,-,-,866
2015年度,滋賀県 日野町,-,-,X
2015年度,滋賀県 竜王町,-,-,941
2015年度,滋賀県 愛荘町,-,-,"1,006"
2015年度,滋賀県 豊郷町,-,-,316
2015年度,滋賀県 甲良町,-,-,X
2015年度,滋賀県 多賀町,-,-,X
2015年度,京都府 京都市,"1,407,087",143.62,"198,409"
2015年度,京都府 京都市 北区,"112,285",11.2,"5,337"
2015年度,京都府 京都市 上京区,"85,113",7.03,"6,676"
2015年度,京都府 京都市 左京区,"151,585",17.59,"-19,280"
2015年度,京都府 京都市 中京区,"109,341",7.41,"38,771"
2015年度,京都府 京都市 東山区,"38,739",5.2,"1,410"
2015年度,京都府 京都市 下京区,"82,668",6.78,"116,713"
2015年度,京都府 京都市 南区,"99,130",14.2,"8,581"
2015年度,京都府 京都市 右京区,"193,425",16.78,"13,171"
2015年度,京都府 京都市 伏見区,"266,480",30.54,"17,322"
2015年度,京都府 京都市 山科区,"129,242",11.99,"4,803"
2015年度,京都府 京都市 西京区,"139,079",14.9,"4,904"
2015年度,京都府 福知山市,"38,022",12.52,"5,401"
2015年度,京都府 舞鶴市,"58,260",17.02,"4,839"
2015年度,京都府 綾部市,"12,046",3.48,"1,290"
2015年度,京都府 宇治市,"180,546",22.35,"8,704"
2015年度,京都府 宮津市,"5,822",1.65,"2,386"
2015年度,京都府 亀岡市,"61,048",8.4,"3,454"
2015年度,京都府 城陽市,"69,223",7.17,"2,724"
2015年度,京都府 向日市,"53,107",5.94,"2,260"
2015年度,京都府 長岡京市,"78,900",9.69,"5,083"
2015年度,京都府 八幡市,"66,888",7.6,"1,510"
2015年度,京都府 京田辺市,"54,480",6.22,"4,133"
2015年度,京都府 京丹後市,"5,258",1.76,"2,607"
2015年度,京都府 南丹市,"7,311",1.95,X
2015年度,京都府 木津川市,"37,648",5.2,"2,097"
2015年度,京都府 大山崎町,"14,421",2.9,73
2015年度,京都府 久御山町,"11,737",3.19,970
2015年度,京都府 井手町,-,-,386
2015年度,京都府 宇治田原町,-,-,X
2015年度,京都府 笠置町,-,-,X
2015年度,京都府 和束町,-,-,X
2015年度,京都府 精華町,"19,365",2.67,"1,170"
2015年度,京都府 南山城村,-,-,X
2015年度,京都府 京丹波町,-,-,426
2015年度,京都府 伊根町,-,-,X
2015年度,京都府 与謝野町,-,-,X
2015年度,大阪府 大阪市,"2,690,732",224.22,"1,173,267"
2015年度,大阪府 大阪市 都島区,"104,727",6.08,"10,151"
2015年度,大阪府 大阪市 福島区,"72,484",4.67,"10,901"
2015年度,大阪府 大阪市 此花区,"66,656",19.25,"1,659"
2015年度,大阪府 大阪市 西区,"92,430",5.21,X
2015年度,大阪府 大阪市 港区,"82,035",7.86,X
2015年度,大阪府 大阪市 大正区,"65,141",9.43,X
2015年度,大阪府 大阪市 天王寺区,"75,729",4.84,"19,963"
2015年度,大阪府 大阪市 浪速区,"69,766",4.39,"19,841"
2015年度,大阪府 大阪市 西淀川区,"95,490",14.22,X
2015年度,大阪府 大阪市 東淀川区,"175,530",13.27,"5,434"
2015年度,大阪府 大阪市 東成区,"80,563",4.54,"11,022"
2015年度,大阪府 大阪市 生野区,"130,167",8.37,"6,884"
2015年度,大阪府 大阪市 旭区,"91,608",6.32,"4,319"
2015年度,大阪府 大阪市 城東区,"164,697",8.38,"14,290"
2015年度,大阪府 大阪市 阿倍野区,"107,626",5.98,"32,706"
2015年度,大阪府 大阪市 住吉区,"154,239",9.4,"9,525"
2015年度,大阪府 大阪市 東住吉区,"126,299",9.75,"6,737"
2015年度,大阪府 大阪市 西成区,"111,883",7.37,"6,230"
2015年度,大阪府 大阪市 淀川区,"176,201",12.64,"17,632"
2015年度,大阪府 大阪市 鶴見区,"111,557",8.17,"4,436"
2015年度,大阪府 大阪市 住之江区,"122,988",20.61,"10,555"
2015年度,大阪府 大阪市 平野区,"196,180",14.26,"10,202"
2015年度,大阪府 大阪市 北区,"123,667",10.34,"288,391"
2015年度,大阪府 大阪市 中央区,"93,069",8.87,"589,071"
2015年度,大阪府 堺市,"798,538",108.09,"75,631"
2015年度,大阪府 堺市 堺区,"148,205",23.65,"45,001"
2015年度,大阪府 堺市 中区,"116,775",14.5,X
2015年度,大阪府 堺市 東区,"82,910",8.5,"4,805"
2015年度,大阪府 堺市 西区,"133,634",26.61,"7,501"
2015年度,大阪府 堺市 南区,"129,995",15.91,"7,687"
2015年度,大阪府 堺市 北区,"157,032",14.4,"7,396"
2015年度,大阪府 堺市 美原区,"29,987",4.51,X
2015年度,大阪府 岸和田市,"176,899",26.2,"19,083"
2015年度,大阪府 豊中市,"395,479",36.39,"46,433"
2015年度,大阪府 池田市,"93,349",9.78,"12,259"
2015年度,大阪府 吹田市,"374,468",36.09,"26,080"
2015年度,大阪府 泉大津市,"75,897",14.31,"6,149"
2015年度,大阪府 高槻市,"339,094",33,"23,542"
2015年度,大阪府 貝塚市,"76,604",12.48,"5,121"
2015年度,大阪府 守口市,"143,042",12.71,"14,080"
2015年度,大阪府 枚方市,"391,023",40.81,"30,965"
2015年度,大阪府 茨木市,"269,111",27.91,"30,137"
2015年度,大阪府 八尾市,"264,824",31.17,"19,407"
2015年度,大阪府 泉佐野市,"82,197",17.77,"9,041"
2015年度,大阪府 富田林市,"89,373",12.7,X
2015年度,大阪府 寝屋川市,"231,360",19.32,"14,672"
2015年度,大阪府 河内長野市,"79,196",11.57,"5,504"
2015年度,大阪府 松原市,"118,975",13.7,"7,276"
2015年度,大阪府 大東市,"121,560",12.07,"6,582"
2015年度,大阪府 和泉市,"154,239",18.86,"10,258"
2015年度,大阪府 箕面市,"126,062",15.04,"6,118"
2015年度,大阪府 柏原市,"64,666",8.13,"2,188"
2015年度,大阪府 羽曳野市,"101,209",12.63,"3,008"
2015年度,大阪府 門真市,"123,576",12.3,"11,210"
2015年度,大阪府 摂津市,"84,738",12.44,"4,634"
2015年度,大阪府 高石市,"56,529",11.3,"3,211"
2015年度,大阪府 藤井寺市,"65,438",8.89,"7,873"
2015年度,大阪府 東大阪市,"501,649",49.5,"61,072"
2015年度,大阪府 泉南市,"49,847",11.63,"1,870"
2015年度,大阪府 四條畷市,"46,332",4.34,X
2015年度,大阪府 交野市,"65,304",7.92,"2,474"
2015年度,大阪府 大阪狭山市,"51,117",6.53,"3,952"
2015年度,大阪府 阪南市,"36,022",5.62,"1,884"
2015年度,大阪府 島本町,"29,116",3.38,X
2015年度,大阪府 豊能町,"10,931",1.63,262
2015年度,大阪府 能勢町,-,-,X
2015年度,大阪府 忠岡町,"17,298",3.97,X
2015年度,大阪府 熊取町,"36,363",6.45,860
2015年度,大阪府 田尻町,"7,039",2.71,513
2015年度,大阪府 岬町,-,-,359
2015年度,大阪府 太子町,"10,015",1.82,X
2015年度,大阪府 河南町,"6,319",1.11,91
2015年度,大阪府 千早赤阪村,-,-,0
2015年度,兵庫県 神戸市,"1,443,793",157.94,"220,454"
2015年度,兵庫県 神戸市 東灘区,"212,083",22.31,"13,008"
2015年度,兵庫県 神戸市 灘区,"134,998",11.35,"11,372"
2015年度,兵庫県 神戸市 兵庫区,"105,566",9.06,"8,189"
2015年度,兵庫県 神戸市 長田区,"97,558",9.27,"7,131"
2015年度,兵庫県 神戸市 須磨区,"158,858",17.29,"8,923"
2015年度,兵庫県 神戸市 垂水区,"208,533",20.49,"7,106"
2015年度,兵庫県 神戸市 北区,"180,335",21.74,"7,691"
2015年度,兵庫県 神戸市 中央区,"134,546",18.13,"145,029"
2015年度,兵庫県 神戸市 西区,"211,316",28.3,"12,005"
2015年度,兵庫県 姫路市,"390,211",93.42,"66,151"
2015年度,兵庫県 尼崎市,"452,563",50.72,"44,298"
2015年度,兵庫県 明石市,"279,870",37.05,"27,849"
2015年度,兵庫県 西宮市,"451,372",39.75,"36,546"
2015年度,兵庫県 洲本市,"10,645",2.83,"5,957"
2015年度,兵庫県 芦屋市,"87,036",7.74,"11,682"
2015年度,兵庫県 伊丹市,"196,879",24.92,"12,613"
2015年度,兵庫県 相生市,"16,640",3.68,"1,487"
2015年度,兵庫県 豊岡市,"16,809",3.86,"9,831"
2015年度,兵庫県 加古川市,"212,490",41.26,"17,654"
2015年度,兵庫県 赤穂市,"30,912",6.45,"2,298"
2015年度,兵庫県 西脇市,"15,144",4.45,"4,312"
2015年度,兵庫県 宝塚市,"214,944",24.76,"12,403"
2015年度,兵庫県 三木市,"51,323",9.41,"4,025"
2015年度,兵庫県 高砂市,"81,105",19.55,"6,049"
2015年度,兵庫県 川西市,"149,526",20.37,"12,048"
2015年度,兵庫県 小野市,"15,874",3.26,"1,866"
2015年度,兵庫県 三田市,"82,412",10.71,"7,840"
2015年度,兵庫県 加西市,"8,584",1.94,"2,333"
2015年度,兵庫県 丹波篠山市,-,-,"2,163"
2015年度,兵庫県 養父市,-,-,930
2015年度,兵庫県 丹波市,-,-,"1,951"
2015年度,兵庫県 南あわじ市,-,-,"2,003"
2015年度,兵庫県 朝来市,-,-,"1,410"
2015年度,兵庫県 淡路市,-,-,"1,899"
2015年度,兵庫県 宍粟市,-,-,"2,357"
2015年度,兵庫県 加東市,"5,537",1.19,"1,249"
2015年度,兵庫県 たつの市,"12,422",3.19,"3,593"
2015年度,兵庫県 猪名川町,"15,768",2.75,428
2015年度,兵庫県 多可町,-,-,480
2015年度,兵庫県 稲美町,"7,354",1.19,810
2015年度,兵庫県 播磨町,"33,169",7.93,589
2015年度,兵庫県 市川町,-,-,135
2015年度,兵庫県 福崎町,-,-,410
2015年度,兵庫県 神河町,-,-,232
2015年度,兵庫県 太子町,"16,407",3.27,968
2015年度,兵庫県 上郡町,-,-,306
2015年度,兵庫県 佐用町,-,-,436
2015年度,兵庫県 香美町,-,-,645
2015年度,兵庫県 新温泉町,-,-,550
2015年度,奈良県 奈良市,"308,006",45.68,"62,670"
2015年度,奈良県 大和高田市,"47,265",6.94,"6,394"
2015年度,奈良県 大和郡山市,"65,927",11.06,"5,040"
2015年度,奈良県 天理市,"27,186",5.64,"2,576"
2015年度,奈良県 橿原市,"95,634",13.78,"11,122"
2015年度,奈良県 桜井市,"22,995",4.56,"4,093"
2015年度,奈良県 五條市,"8,231",2.52,"2,116"
2015年度,奈良県 御所市,"9,405",2.3,"1,162"
2015年度,奈良県 生駒市,"96,070",13.64,"7,878"
2015年度,奈良県 香芝市,"59,267",9.31,"3,068"
2015年度,奈良県 葛城市,"16,060",2.8,X
2015年度,奈良県 宇陀市,-,-,"1,171"
2015年度,奈良県 山添村,-,-,X
2015年度,奈良県 平群町,-,-,651
2015年度,奈良県 三郷町,"21,900",3.89,X
2015年度,奈良県 斑鳩町,"23,570",4.14,X
2015年度,奈良県 安堵町,-,-,X
2015年度,奈良県 川西町,-,-,634
2015年度,奈良県 三宅町,-,-,X
2015年度,奈良県 田原本町,"18,604",3.49,X
2015年度,奈良県 曽爾村,-,-,X
2015年度,奈良県 御杖村,-,-,0
2015年度,奈良県 高取町,-,-,X
2015年度,奈良県 明日香村,-,-,155
2015年度,奈良県 上牧町,"14,919",2.13,639
2015年度,奈良県 王寺町,"18,579",3.36,"4,503"
2015年度,奈良県 広陵町,"21,152",3.4,X
2015年度,奈良県 河合町,"8,960",1.56,325
2015年度,奈良県 吉野町,-,-,445
2015年度,奈良県 大淀町,-,-,742
2015年度,奈良県 下市町,-,-,253
2015年度,奈良県 黒滝村,-,-,X
2015年度,奈良県 天川村,-,-,0
2015年度,奈良県 野迫川村,-,-,X
2015年度,奈良県 十津川村,-,-,217
2015年度,奈良県 下北山村,-,-,X
2015年度,奈良県 上北山村,-,-,0
2015年度,奈良県 川上村,-,-,X
2015年度,奈良県 東吉野村,-,-,X
2015年度,和歌山県 和歌山市,"275,582",63.05,"63,535"
2015年度,和歌山県 海南市,"17,231",5.56,"2,500"
2015年度,和歌山県 橋本市,-,-,"2,936"
2015年度,和歌山県 有田市,"6,665",3.57,"1,395"
2015年度,和歌山県 御坊市,"6,224",1.77,"2,767"
2015年度,和歌山県 田辺市,"30,925",6.82,"6,610"
2015年度,和歌山県 新宮市,"16,311",3.77,"3,134"
2015年度,和歌山県 紀の川市,-,-,"2,147"
2015年度,和歌山県 岩出市,-,-,"2,381"
2015年度,和歌山県 紀美野町,-,-,143
2015年度,和歌山県 かつらぎ町,-,-,565
2015年度,和歌山県 九度山町,-,-,X
2015年度,和歌山県 高野町,-,-,253
2015年度,和歌山県 湯浅町,"5,825",1.34,"1,013"
2015年度,和歌山県 広川町,-,-,X
2015年度,和歌山県 有田川町,-,-,751
2015年度,和歌山県 美浜町,-,-,272
2015年度,和歌山県 日高町,-,-,X
2015年度,和歌山県 由良町,-,-,163
2015年度,和歌山県 印南町,-,-,156
2015年度,和歌山県 みなべ町,-,-,428
2015年度,和歌山県 日高川町,-,-,218
2015年度,和歌山県 白浜町,-,-,X
2015年度,和歌山県 上富田町,-,-,380
2015年度,和歌山県 すさみ町,-,-,X
2015年度,和歌山県 那智勝浦町,-,-,552
2015年度,和歌山県 太地町,-,-,X
2015年度,和歌山県 古座川町,-,-,X
2015年度,和歌山県 北山村,-,-,0
2015年度,和歌山県 串本町,-,-,X
2015年度,鳥取県 鳥取市,"100,756",19.03,"25,684"
2015年度,鳥取県 米子市,"77,543",17.79,"16,135"
2015年度,鳥取県 倉吉市,"17,269",5.7,"4,178"
2015年度,鳥取県 境港市,"16,491",6.76,"1,658"
