調査年,地域,A1801_人口集中地区人口【人】,A1802_人口集中地区面積【ｋｍ2】,C620114_付加価値額（民営）（金融業、保険業）【百万円】
2015年度,鳥取県 岩美町,-,-,317
2015年度,鳥取県 若桜町,-,-,197
2015年度,鳥取県 智頭町,-,-,274
2015年度,鳥取県 八頭町,-,-,473
2015年度,鳥取県 三朝町,-,-,157
2015年度,鳥取県 湯梨浜町,-,-,462
2015年度,鳥取県 琴浦町,-,-,669
2015年度,鳥取県 北栄町,-,-,513
2015年度,鳥取県 日吉津村,-,-,108
2015年度,鳥取県 大山町,-,-,293
2015年度,鳥取県 南部町,-,-,131
2015年度,鳥取県 伯耆町,-,-,213
2015年度,鳥取県 日南町,-,-,135
2015年度,鳥取県 日野町,-,-,177
2015年度,鳥取県 江府町,-,-,206
2015年度,島根県 松江市,"105,360",21.67,"38,822"
2015年度,島根県 浜田市,"10,850",2.96,"3,828"
2015年度,島根県 出雲市,"34,364",8.44,"11,445"
2015年度,島根県 益田市,"10,363",3.32,"3,381"
2015年度,島根県 大田市,-,-,"2,385"
2015年度,島根県 安来市,"7,398",2.22,"1,747"
2015年度,島根県 江津市,-,-,"1,224"
2015年度,島根県 雲南市,-,-,X
2015年度,島根県 奥出雲町,-,-,379
2015年度,島根県 飯南町,-,-,X
2015年度,島根県 川本町,-,-,199
2015年度,島根県 美郷町,-,-,X
2015年度,島根県 邑南町,-,-,"1,010"
2015年度,島根県 津和野町,-,-,394
2015年度,島根県 吉賀町,-,-,173
2015年度,島根県 海士町,-,-,X
2015年度,島根県 西ノ島町,-,-,182
2015年度,島根県 知夫村,-,-,0
2015年度,島根県 隠岐の島町,-,-,635
2015年度,岡山県 岡山市,"492,936",81.79,"123,577"
2015年度,岡山県 岡山市 北区,"220,922",34.33,"106,838"
2015年度,岡山県 岡山市 中区,"121,989",20.18,"7,619"
2015年度,岡山県 岡山市 東区,"39,129",7.74,"3,623"
2015年度,岡山県 岡山市 南区,"110,896",19.55,"5,498"
2015年度,岡山県 倉敷市,"288,666",89.02,"36,561"
2015年度,岡山県 津山市,"27,192",8.66,X
2015年度,岡山県 玉野市,"17,808",6.33,"2,913"
2015年度,岡山県 笠岡市,"14,405",3.95,"3,410"
2015年度,岡山県 井原市,"6,182",1.82,"2,124"
2015年度,岡山県 総社市,"22,245",4.45,"3,158"
2015年度,岡山県 高梁市,"6,060",1.47,"1,643"
2015年度,岡山県 新見市,"5,318",1.67,"1,080"
2015年度,岡山県 備前市,-,-,"2,826"
2015年度,岡山県 瀬戸内市,-,-,"1,475"
2015年度,岡山県 赤磐市,"16,336",3.05,"1,634"
2015年度,岡山県 真庭市,-,-,"1,934"
2015年度,岡山県 美作市,-,-,X
2015年度,岡山県 浅口市,-,-,"1,421"
2015年度,岡山県 和気町,-,-,678
2015年度,岡山県 早島町,-,-,X
2015年度,岡山県 里庄町,-,-,X
2015年度,岡山県 矢掛町,-,-,703
2015年度,岡山県 新庄村,-,-,0
2015年度,岡山県 鏡野町,-,-,94
2015年度,岡山県 勝央町,-,-,X
2015年度,岡山県 奈義町,-,-,X
2015年度,岡山県 西粟倉村,-,-,0
2015年度,岡山県 久米南町,-,-,0
2015年度,岡山県 美咲町,-,-,276
2015年度,岡山県 吉備中央町,-,-,209
2015年度,広島県 広島市,"1,027,439",133.96,"208,746"
2015年度,広島県 広島市 中区,"136,640",15.32,"153,443"
2015年度,広島県 広島市 東区,"105,484",12.62,"10,458"
2015年度,広島県 広島市 南区,"140,988",19.07,"14,570"
2015年度,広島県 広島市 西区,"179,574",22.92,"11,395"
2015年度,広島県 広島市 安佐南区,"202,928",25.39,"7,881"
2015年度,広島県 広島市 安佐北区,"89,734",14.93,"4,385"
2015年度,広島県 広島市 安芸区,"61,766",10.44,"1,552"
2015年度,広島県 広島市 佐伯区,"110,325",13.26,"5,063"
2015年度,広島県 呉市,"156,083",29.72,"15,347"
2015年度,広島県 竹原市,"6,555",2.22,X
2015年度,広島県 三原市,"46,736",10.47,"6,210"
2015年度,広島県 尾道市,"58,931",14.4,"9,430"
2015年度,広島県 福山市,"265,448",59.89,"43,653"
2015年度,広島県 府中市,"19,569",6.06,"3,887"
2015年度,広島県 三次市,"11,465",3.03,"2,628"
2015年度,広島県 庄原市,-,-,"1,492"
2015年度,広島県 大竹市,"23,905",8.23,"1,323"
2015年度,広島県 東広島市,"51,311",7.6,"7,552"
2015年度,広島県 廿日市市,"81,161",15.17,"4,464"
2015年度,広島県 安芸高田市,-,-,"1,085"
2015年度,広島県 江田島市,-,-,991
2015年度,広島県 府中町,"50,776",5.58,"1,458"
2015年度,広島県 海田町,"26,912",4.74,"2,654"
2015年度,広島県 熊野町,-,-,769
2015年度,広島県 坂町,"7,248",1.46,X
2015年度,広島県 安芸太田町,-,-,211
2015年度,広島県 北広島町,-,-,808
2015年度,広島県 大崎上島町,-,-,576
2015年度,広島県 世羅町,-,-,X
2015年度,広島県 神石高原町,-,-,X
2015年度,山口県 下関市,"176,520",40.5,"40,165"
2015年度,山口県 宇部市,"89,846",29.11,"13,221"
2015年度,山口県 山口市,"99,468",22.89,"22,938"
2015年度,山口県 萩市,"18,764",6.18,"2,846"
2015年度,山口県 防府市,"71,556",24.13,"6,516"
2015年度,山口県 下松市,"26,359",9.76,"3,791"
2015年度,山口県 岩国市,"66,466",26.47,"8,769"
2015年度,山口県 光市,"25,836",9.82,"2,311"
2015年度,山口県 長門市,-,-,X
2015年度,山口県 柳井市,"9,993",4.35,"2,794"
2015年度,山口県 美祢市,-,-,"1,247"
2015年度,山口県 周南市,"88,865",30.28,"18,512"
2015年度,山口県 山陽小野田市,"17,748",6.77,X
2015年度,山口県 周防大島町,-,-,657
2015年度,山口県 和木町,-,-,X
2015年度,山口県 上関町,-,-,X
2015年度,山口県 田布施町,-,-,449
2015年度,山口県 平生町,-,-,299
2015年度,山口県 阿武町,-,-,181
2015年度,徳島県 徳島市,"186,426",38.62,"49,693"
2015年度,徳島県 鳴門市,"20,219",5.85,"3,056"
2015年度,徳島県 小松島市,"16,266",4.61,"1,703"
2015年度,徳島県 阿南市,"5,020",1.42,"4,808"
2015年度,徳島県 吉野川市,"6,125",1.67,"4,517"
2015年度,徳島県 阿波市,-,-,966
2015年度,徳島県 美馬市,-,-,"1,939"
2015年度,徳島県 三好市,-,-,"1,563"
2015年度,徳島県 勝浦町,-,-,239
2015年度,徳島県 上勝町,-,-,0
2015年度,徳島県 佐那河内村,-,-,0
2015年度,徳島県 石井町,-,-,"1,297"
2015年度,徳島県 神山町,-,-,0
2015年度,徳島県 那賀町,-,-,401
2015年度,徳島県 牟岐町,-,-,304
2015年度,徳島県 美波町,-,-,423
2015年度,徳島県 海陽町,-,-,553
2015年度,徳島県 松茂町,-,-,558
2015年度,徳島県 北島町,"13,095",2.95,"2,151"
2015年度,徳島県 藍住町,-,-,"1,648"
2015年度,徳島県 板野町,-,-,535
2015年度,徳島県 上板町,-,-,252
2015年度,徳島県 つるぎ町,-,-,556
2015年度,徳島県 東みよし町,-,-,667
2015年度,香川県 高松市,"212,897",41.04,"109,665"
2015年度,香川県 丸亀市,"37,621",12.62,"10,418"
2015年度,香川県 坂出市,"23,157",9.41,X
2015年度,香川県 善通寺市,"9,250",2.84,"2,089"
2015年度,香川県 観音寺市,"9,330",3.07,"6,121"
2015年度,香川県 さぬき市,"6,044",2.11,"2,850"
2015年度,香川県 東かがわ市,-,-,"1,769"
2015年度,香川県 三豊市,-,-,"2,774"
2015年度,香川県 土庄町,-,-,883
2015年度,香川県 小豆島町,-,-,508
2015年度,香川県 三木町,-,-,X
2015年度,香川県 直島町,-,-,X
2015年度,香川県 宇多津町,"12,181",2.02,641
2015年度,香川県 綾川町,-,-,630
2015年度,香川県 琴平町,-,-,"1,111"
2015年度,香川県 多度津町,"7,389",3.73,"1,137"
2015年度,香川県 まんのう町,-,-,X
2015年度,愛媛県 松山市,"429,624",68.71,X
2015年度,愛媛県 今治市,"58,795",13.99,"16,871"
2015年度,愛媛県 宇和島市,"31,927",6.56,"5,767"
2015年度,愛媛県 八幡浜市,"11,892",2.38,"3,022"
2015年度,愛媛県 新居浜市,"86,704",29.2,"12,284"
2015年度,愛媛県 西条市,"30,063",7.6,"5,804"
2015年度,愛媛県 大洲市,"8,095",2.32,"2,581"
2015年度,愛媛県 伊予市,"14,096",3.17,"1,398"
2015年度,愛媛県 四国中央市,"33,723",13.01,"7,270"
2015年度,愛媛県 西予市,-,-,"1,294"
2015年度,愛媛県 東温市,"9,657",1.89,X
2015年度,愛媛県 上島町,-,-,X
2015年度,愛媛県 久万高原町,-,-,330
2015年度,愛媛県 松前町,"12,884",2.92,"1,146"
2015年度,愛媛県 砥部町,"5,974",0.95,X
2015年度,愛媛県 内子町,-,-,778
2015年度,愛媛県 伊方町,-,-,309
2015年度,愛媛県 松野町,-,-,X
2015年度,愛媛県 鬼北町,-,-,288
2015年度,愛媛県 愛南町,-,-,774
2015年度,高知県 高知市,"271,698",44.38,"73,235"
2015年度,高知県 室戸市,-,-,"1,031"
2015年度,高知県 安芸市,"5,416",1.7,X
2015年度,高知県 南国市,"12,584",2.17,"5,009"
2015年度,高知県 土佐市,"5,711",1.45,"1,797"
2015年度,高知県 須崎市,-,-,"1,932"
2015年度,高知県 宿毛市,-,-,"1,241"
2015年度,高知県 土佐清水市,-,-,X
2015年度,高知県 四万十市,"11,040",2.58,"3,220"
2015年度,高知県 香南市,-,-,X
2015年度,高知県 香美市,"10,470",1.98,X
2015年度,高知県 東洋町,-,-,X
2015年度,高知県 奈半利町,-,-,X
2015年度,高知県 田野町,-,-,X
2015年度,高知県 安田町,-,-,0
2015年度,高知県 北川村,-,-,0
2015年度,高知県 馬路村,-,-,0
2015年度,高知県 芸西村,-,-,X
2015年度,高知県 本山町,-,-,X
2015年度,高知県 大豊町,-,-,X
2015年度,高知県 土佐町,-,-,X
2015年度,高知県 大川村,-,-,0
2015年度,高知県 いの町,-,-,"1,352"
2015年度,高知県 仁淀川町,-,-,X
2015年度,高知県 中土佐町,-,-,558
2015年度,高知県 佐川町,-,-,747
2015年度,高知県 越知町,-,-,X
2015年度,高知県 檮原町,-,-,X
2015年度,高知県 日高村,-,-,0
2015年度,高知県 津野町,-,-,501
2015年度,高知県 四万十町,-,-,971
2015年度,高知県 大月町,-,-,X
2015年度,高知県 三原村,-,-,0
2015年度,高知県 黒潮町,-,-,182
2015年度,福岡県 北九州市,"864,534",156.81,"100,462"
2015年度,福岡県 北九州市 門司区,"83,359",15.51,"4,416"
2015年度,福岡県 北九州市 若松区,"66,042",14.57,"3,615"
2015年度,福岡県 北九州市 戸畑区,"58,462",15.84,"2,665"
2015年度,福岡県 北九州市 小倉北区,"179,710",28.29,"61,667"
2015年度,福岡県 北九州市 小倉南区,"184,330",26.66,"5,352"
2015年度,福岡県 北九州市 八幡東区,"65,412",14.87,"7,230"
2015年度,福岡県 北九州市 八幡西区,"227,219",41.06,"15,517"
2015年度,福岡県 福岡市,"1,486,479",154.35,"363,897"
2015年度,福岡県 福岡市 東区,"299,541",38.87,"13,418"
2015年度,福岡県 福岡市 博多区,"221,009",25.82,"151,780"
2015年度,福岡県 福岡市 中央区,"192,688",15.4,"167,702"
2015年度,福岡県 福岡市 南区,"255,129",25.24,"8,508"
2015年度,福岡県 福岡市 西区,"178,151",17.68,"10,274"
2015年度,福岡県 福岡市 城南区,"130,273",12.37,"2,021"
2015年度,福岡県 福岡市 早良区,"209,688",18.98,"10,192"
2015年度,福岡県 大牟田市,"96,981",30.84,"7,997"
2015年度,福岡県 久留米市,"188,031",32.44,"35,308"
2015年度,福岡県 直方市,"26,858",7.78,"2,271"
2015年度,福岡県 飯塚市,"49,683",11.6,"11,250"
2015年度,福岡県 田川市,"18,668",4.91,"3,643"
2015年度,福岡県 柳川市,"11,149",2.91,"3,717"
2015年度,福岡県 八女市,"6,250",1.86,"6,344"
2015年度,福岡県 筑後市,"12,374",3.3,"3,202"
2015年度,福岡県 大川市,"7,650",2.79,"2,843"
2015年度,福岡県 行橋市,"28,057",6.49,"3,431"
2015年度,福岡県 豊前市,-,-,"1,355"
2015年度,福岡県 中間市,"35,908",6.87,"1,496"
2015年度,福岡県 小郡市,"40,484",6.51,"2,160"
2015年度,福岡県 筑紫野市,"71,171",9.89,"4,046"
2015年度,福岡県 春日市,"110,570",13.28,"3,781"
2015年度,福岡県 大野城市,"95,832",11.99,"2,953"
2015年度,福岡県 宗像市,"56,238",9.48,"5,155"
2015年度,福岡県 太宰府市,"63,358",9.77,"2,104"
2015年度,福岡県 古賀市,"39,108",6.06,"2,549"
2015年度,福岡県 福津市,"43,205",7.66,"1,648"
2015年度,福岡県 うきは市,-,-,"2,075"
2015年度,福岡県 宮若市,-,-,955
2015年度,福岡県 嘉麻市,-,-,"1,229"
2015年度,福岡県 朝倉市,"10,236",2.78,"3,307"
2015年度,福岡県 みやま市,-,-,"1,381"
2015年度,福岡県 糸島市,"50,189",7.39,"2,762"
2015年度,福岡県 那珂川市,"42,236",5.52,"1,022"
2015年度,福岡県 宇美町,"22,991",4.65,X
2015年度,福岡県 篠栗町,"18,054",2.36,589
2015年度,福岡県 志免町,"43,674",6.37,"2,174"
2015年度,福岡県 須恵町,"18,925",4.11,303
2015年度,福岡県 新宮町,"25,137",4.34,380
2015年度,福岡県 久山町,-,-,246
2015年度,福岡県 粕屋町,"38,977",5.53,"2,868"
2015年度,福岡県 芦屋町,"8,260",5.72,529
2015年度,福岡県 水巻町,"21,659",3.98,641
2015年度,福岡県 岡垣町,"11,509",2.29,"1,723"
2015年度,福岡県 遠賀町,-,-,447
2015年度,福岡県 小竹町,-,-,X
2015年度,福岡県 鞍手町,"5,019",1.45,276
2015年度,福岡県 桂川町,-,-,X
2015年度,福岡県 筑前町,-,-,X
2015年度,福岡県 東峰村,-,-,X
2015年度,福岡県 大刀洗町,-,-,77
2015年度,福岡県 大木町,-,-,460
2015年度,福岡県 広川町,-,-,889
2015年度,福岡県 香春町,-,-,X
2015年度,福岡県 添田町,-,-,X
2015年度,福岡県 糸田町,-,-,X
2015年度,福岡県 川崎町,-,-,372
2015年度,福岡県 大任町,-,-,X
2015年度,福岡県 赤村,-,-,0
2015年度,福岡県 福智町,-,-,779
2015年度,福岡県 苅田町,"23,675",12.52,"1,659"
2015年度,福岡県 みやこ町,-,-,18
2015年度,福岡県 吉富町,-,-,0
2015年度,福岡県 上毛町,-,-,X
2015年度,福岡県 築上町,-,-,X
2015年度,佐賀県 佐賀市,"139,012",27.45,"33,419"
2015年度,佐賀県 唐津市,"36,002",9.54,"4,873"
2015年度,佐賀県 鳥栖市,"40,765",8.62,"3,529"
2015年度,佐賀県 多久市,-,-,487
2015年度,佐賀県 伊万里市,"13,119",3.01,"3,124"
2015年度,佐賀県 武雄市,"6,127",1.53,"2,830"
2015年度,佐賀県 鹿島市,"9,570",2.75,"1,775"
2015年度,佐賀県 小城市,"6,139",1.57,998
2015年度,佐賀県 嬉野市,-,-,710
2015年度,佐賀県 神埼市,"5,362",1.33,876
2015年度,佐賀県 吉野ヶ里町,-,-,205
2015年度,佐賀県 基山町,"5,633",0.99,X
2015年度,佐賀県 上峰町,-,-,244
2015年度,佐賀県 みやき町,-,-,X
2015年度,佐賀県 玄海町,-,-,75
2015年度,佐賀県 有田町,-,-,"1,001"
2015年度,佐賀県 大町町,-,-,128
2015年度,佐賀県 江北町,-,-,345
2015年度,佐賀県 白石町,-,-,625
2015年度,佐賀県 太良町,-,-,203
2015年度,長崎県 長崎市,"314,082",44.69,"58,690"
2015年度,長崎県 佐世保市,"152,157",31.35,"21,915"
2015年度,長崎県 島原市,"18,413",5.59,"2,560"
2015年度,長崎県 諫早市,"60,568",11.94,"7,432"
2015年度,長崎県 大村市,"62,104",17.45,"2,521"
2015年度,長崎県 平戸市,-,-,"1,079"
2015年度,長崎県 松浦市,-,-,470
2015年度,長崎県 対馬市,-,-,"1,086"
2015年度,長崎県 壱岐市,-,-,816
2015年度,長崎県 五島市,"10,112",2.84,"1,280"
2015年度,長崎県 西海市,-,-,620
2015年度,長崎県 雲仙市,-,-,794
2015年度,長崎県 南島原市,-,-,"1,418"
2015年度,長崎県 長与町,"24,349",3.63,"2,697"
2015年度,長崎県 時津町,"13,833",1.86,705
2015年度,長崎県 東彼杵町,-,-,X
2015年度,長崎県 川棚町,"5,833",1.7,X
2015年度,長崎県 波佐見町,-,-,498
2015年度,長崎県 小値賀町,-,-,X
2015年度,長崎県 佐々町,-,-,850
2015年度,長崎県 新上五島町,-,-,X
2015年度,熊本県 熊本市,"587,816",88.77,"118,065"
2015年度,熊本県 熊本市 中央区,"185,324",23.53,"96,387"
2015年度,熊本県 熊本市 東区,"168,810",24.02,"6,955"
2015年度,熊本県 熊本市 西区,"68,263",11.66,"5,808"
2015年度,熊本県 熊本市 南区,"75,376",13.32,"4,250"
2015年度,熊本県 熊本市 北区,"90,043",16.23,"4,664"
2015年度,熊本県 八代市,"55,162",17.45,"9,822"
2015年度,熊本県 人吉市,"13,577",4.41,"2,143"
2015年度,熊本県 荒尾市,"26,810",7.97,"1,443"
2015年度,熊本県 水俣市,"11,749",4.54,"1,189"
2015年度,熊本県 玉名市,"11,740",3.23,"3,115"
2015年度,熊本県 山鹿市,"12,675",3.43,"2,503"
2015年度,熊本県 菊池市,"6,695",1.91,"1,808"
2015年度,熊本県 宇土市,"9,942",2.7,"1,391"
2015年度,熊本県 上天草市,-,-,"1,483"
2015年度,熊本県 宇城市,"7,343",1.67,X
2015年度,熊本県 阿蘇市,-,-,"1,243"
2015年度,熊本県 天草市,"14,539",3.93,"4,187"
2015年度,熊本県 合志市,"36,906",5.83,"1,326"
2015年度,熊本県 美里町,-,-,X
2015年度,熊本県 玉東町,-,-,X
2015年度,熊本県 南関町,-,-,X
2015年度,熊本県 長洲町,-,-,436
2015年度,熊本県 和水町,-,-,108
2015年度,熊本県 大津町,"7,069",1.65,"1,365"
2015年度,熊本県 菊陽町,"29,249",4.7,"1,069"
2015年度,熊本県 南小国町,-,-,138
2015年度,熊本県 小国町,-,-,312
2015年度,熊本県 産山村,-,-,0
2015年度,熊本県 高森町,-,-,261
2015年度,熊本県 西原村,-,-,X
2015年度,熊本県 南阿蘇村,-,-,59
2015年度,熊本県 御船町,-,-,478
2015年度,熊本県 嘉島町,-,-,578
2015年度,熊本県 益城町,"22,634",3.9,673
2015年度,熊本県 甲佐町,-,-,650
2015年度,熊本県 山都町,-,-,309
2015年度,熊本県 氷川町,-,-,X
2015年度,熊本県 芦北町,-,-,294
2015年度,熊本県 津奈木町,-,-,X
2015年度,熊本県 錦町,-,-,X
2015年度,熊本県 多良木町,-,-,X
2015年度,熊本県 湯前町,-,-,X
2015年度,熊本県 水上村,-,-,0
2015年度,熊本県 相良村,-,-,0
2015年度,熊本県 五木村,-,-,0
2015年度,熊本県 山江村,-,-,0
2015年度,熊本県 球磨村,-,-,0
2015年度,熊本県 あさぎり町,-,-,555
2015年度,熊本県 苓北町,-,-,331
2015年度,大分県 大分市,"342,769",70.46,"63,564"
2015年度,大分県 別府市,"107,735",18.36,"7,132"
2015年度,大分県 中津市,"26,552",7.13,"5,537"
2015年度,大分県 日田市,"28,613",7.18,"3,993"
2015年度,大分県 佐伯市,"23,900",7.9,"3,605"
2015年度,大分県 臼杵市,"13,384",3.77,"1,655"
2015年度,大分県 津久見市,"7,885",2.93,569
2015年度,大分県 竹田市,-,-,633
2015年度,大分県 豊後高田市,-,-,914
2015年度,大分県 杵築市,-,-,"1,235"
2015年度,大分県 宇佐市,-,-,"2,055"
2015年度,大分県 豊後大野市,-,-,"1,191"
2015年度,大分県 由布市,-,-,782
2015年度,大分県 国東市,-,-,707
2015年度,大分県 姫島村,-,-,X
2015年度,大分県 日出町,-,-,541
2015年度,大分県 九重町,-,-,X
2015年度,大分県 玖珠町,-,-,846
2015年度,宮崎県 宮崎市,"278,193",50.59,"48,720"
2015年度,宮崎県 都城市,"63,366",16.77,"9,988"
2015年度,宮崎県 延岡市,"82,178",19.76,"7,926"
2015年度,宮崎県 日南市,"12,362",3.69,"3,165"
2015年度,宮崎県 小林市,"8,043",3.06,"2,606"
2015年度,宮崎県 日向市,"40,308",9.61,"3,950"
2015年度,宮崎県 串間市,-,-,570
2015年度,宮崎県 西都市,"6,299",1.84,"1,349"
2015年度,宮崎県 えびの市,-,-,X
2015年度,宮崎県 三股町,-,-,506
2015年度,宮崎県 高原町,-,-,X
2015年度,宮崎県 国富町,-,-,912
2015年度,宮崎県 綾町,-,-,X
2015年度,宮崎県 高鍋町,"9,567",3.5,"1,399"
2015年度,宮崎県 新富町,-,-,671
2015年度,宮崎県 西米良村,-,-,0
2015年度,宮崎県 木城町,-,-,77
2015年度,宮崎県 川南町,-,-,X
2015年度,宮崎県 都農町,-,-,389
2015年度,宮崎県 門川町,"8,771",2.04,X
2015年度,宮崎県 諸塚村,-,-,0
2015年度,宮崎県 椎葉村,-,-,X
2015年度,宮崎県 美郷町,-,-,0
2015年度,宮崎県 高千穂町,-,-,538
2015年度,宮崎県 日之影町,-,-,X
2015年度,宮崎県 五ヶ瀬町,-,-,X
2015年度,鹿児島県 鹿児島市,"482,548",74.59,"85,087"
2015年度,鹿児島県 鹿屋市,"29,902",11.25,"5,439"
2015年度,鹿児島県 枕崎市,"9,487",3.3,"1,233"
2015年度,鹿児島県 阿久根市,-,-,805
2015年度,鹿児島県 出水市,-,-,"1,884"
2015年度,鹿児島県 指宿市,"6,544",1.85,"1,842"
2015年度,鹿児島県 西之表市,-,-,629
2015年度,鹿児島県 垂水市,-,-,780
2015年度,鹿児島県 薩摩川内市,"19,663",5.98,"4,537"
2015年度,鹿児島県 日置市,-,-,"1,674"
2015年度,鹿児島県 曽於市,-,-,"1,292"
2015年度,鹿児島県 霧島市,"49,115",11.37,"5,184"
2015年度,鹿児島県 いちき串木野市,"11,604",3.23,735
2015年度,鹿児島県 南さつま市,-,-,"1,253"
2015年度,鹿児島県 志布志市,-,-,"1,142"
2015年度,鹿児島県 奄美市,"17,064",2.52,"2,449"
2015年度,鹿児島県 南九州市,-,-,"1,478"
2015年度,鹿児島県 伊佐市,-,-,789
2015年度,鹿児島県 姶良市,"36,756",9.52,"1,990"
2015年度,鹿児島県 三島村,-,-,0
2015年度,鹿児島県 十島村,-,-,0
2015年度,鹿児島県 さつま町,-,-,X
2015年度,鹿児島県 長島町,-,-,270
2015年度,鹿児島県 湧水町,-,-,286
2015年度,鹿児島県 大崎町,-,-,251
2015年度,鹿児島県 東串良町,-,-,79
2015年度,鹿児島県 錦江町,-,-,191
2015年度,鹿児島県 南大隅町,-,-,78
2015年度,鹿児島県 肝付町,-,-,289
2015年度,鹿児島県 中種子町,-,-,X
2015年度,鹿児島県 南種子町,-,-,X
2015年度,鹿児島県 屋久島町,-,-,515
2015年度,鹿児島県 大和村,-,-,0
2015年度,鹿児島県 宇検村,-,-,X
2015年度,鹿児島県 瀬戸内町,-,-,190
2015年度,鹿児島県 龍郷町,-,-,X
2015年度,鹿児島県 喜界町,-,-,155
2015年度,鹿児島県 徳之島町,-,-,346
2015年度,鹿児島県 天城町,-,-,83
2015年度,鹿児島県 伊仙町,-,-,X
2015年度,鹿児島県 和泊町,-,-,265
2015年度,鹿児島県 知名町,-,-,X
2015年度,鹿児島県 与論町,-,-,X
2015年度,沖縄県 那覇市,"318,151",38.4,"85,185"
2015年度,沖縄県 宜野湾市,"95,504",12.69,"2,891"
2015年度,沖縄県 石垣市,"31,425",5.15,"1,754"
2015年度,沖縄県 浦添市,"111,169",12.47,"8,120"
2015年度,沖縄県 名護市,"25,270",4.6,"2,929"
2015年度,沖縄県 糸満市,"33,830",6.39,"1,473"
2015年度,沖縄県 沖縄市,"122,197",16.8,"6,322"
2015年度,沖縄県 豊見城市,"39,139",4.57,"1,180"
2015年度,沖縄県 うるま市,"59,166",10.24,X
2015年度,沖縄県 宮古島市,"17,314",3.63,"1,583"
2015年度,沖縄県 南城市,-,-,297
2015年度,沖縄県 国頭村,-,-,X
2015年度,沖縄県 大宜味村,-,-,0
2015年度,沖縄県 東村,-,-,0
2015年度,沖縄県 今帰仁村,-,-,X
2015年度,沖縄県 本部町,-,-,339
2015年度,沖縄県 恩納村,-,-,X
2015年度,沖縄県 宜野座村,-,-,482
2015年度,沖縄県 金武町,"5,256",1.21,229
2015年度,沖縄県 伊江村,-,-,X
2015年度,沖縄県 読谷村,"17,463",3.25,404
2015年度,沖縄県 嘉手納町,"13,126",1.85,"1,016"
2015年度,沖縄県 北谷町,"20,977",3.31,"1,611"
2015年度,沖縄県 北中城村,-,-,X
2015年度,沖縄県 中城村,-,-,234
2015年度,沖縄県 西原町,"10,405",1.66,"1,021"
2015年度,沖縄県 与那原町,"15,368",2.77,"1,059"
2015年度,沖縄県 南風原町,"27,800",4.21,913
2015年度,沖縄県 渡嘉敷村,-,-,0
2015年度,沖縄県 座間味村,-,-,0
2015年度,沖縄県 粟国村,-,-,0
2015年度,沖縄県 渡名喜村,-,-,0
2015年度,沖縄県 南大東村,-,-,0
2015年度,沖縄県 北大東村,-,-,X
2015年度,沖縄県 伊平屋村,-,-,X
2015年度,沖縄県 伊是名村,-,-,0
2015年度,沖縄県 久米島町,-,-,X
2015年度,沖縄県 八重瀬町,"8,212",0.99,320
2015年度,沖縄県 多良間村,-,-,X
2015年度,沖縄県 竹富町,-,-,0
2015年度,沖縄県 与那国町,-,-,0